cod,nome,período,valor,regiao
51,MT,2009,1000,Centro-Oeste
26,PE,2009,3963,Nordeste
29,BA,2009,5432,Nordeste
35,SP,2009,6557,Sudeste
16,AP,2009,190,Norte
33,RJ,2009,5365,Sudeste
21,MA,2009,1398,Nordeste
28,SE,2009,653,Nordeste
22,PI,2009,385,Nordeste
53,DF,2009,882,Centro-Oeste
24,RN,2009,800,Nordeste
31,MG,2009,3742,Sudeste
43,RS,2009,2242,Sul
27,AL,2009,1873,Nordeste
42,SC,2009,820,Sul
25,PB,2009,1263,Nordeste
31,MG,2010,3646,Sudeste
23,CE,2010,2688,Nordeste
17,TO,2010,327,Norte
11,RO,2010,546,Norte
22,PI,2010,411,Nordeste
26,PE,2010,3473,Nordeste
52,GO,2010,1979,Centro-Oeste
24,RN,2010,810,Nordeste
51,MT,2010,972,Centro-Oeste
21,MA,2010,1519,Nordeste
53,DF,2010,786,Centro-Oeste
27,AL,2010,2087,Nordeste
25,PB,2010,1455,Nordeste
12,AC,2010,165,Norte
50,MS,2010,656,Centro-Oeste
41,PR,2010,3586,Sul
28,SE,2010,676,Nordeste
13,AM,2010,1082,Norte
43,RS,2010,2085,Sul
14,RR,2010,121,Norte
35,SP,2010,6039,Sudeste
29,BA,2010,5844,Nordeste
15,PA,2010,3521,Norte
42,SC,2010,823,Sul
33,RJ,2010,5667,Sudeste
16,AP,2010,260,Norte
32,ES,2010,1792,Sudeste
14,RR,2011,95,Norte
35,SP,2011,5842,Sudeste
33,RJ,2011,4781,Sudeste
23,CE,2011,2792,Nordeste
43,RS,2011,2077,Sul
13,AM,2011,1292,Norte
28,SE,2011,731,Nordeste
53,DF,2011,902,Centro-Oeste
41,PR,2011,3376,Sul
50,MS,2011,673,Centro-Oeste
12,AC,2011,164,Norte
25,PB,2011,1614,Nordeste
27,AL,2011,2244,Nordeste
21,MA,2011,1591,Nordeste
17,TO,2011,361,Norte
16,AP,2011,209,Norte
32,ES,2011,1672,Sudeste
31,MG,2011,4262,Sudeste
51,MT,2011,1009,Centro-Oeste
24,RN,2011,1054,Nordeste
52,GO,2011,2272,Centro-Oeste
26,PE,2011,3471,Nordeste
22,PI,2011,440,Nordeste
11,RO,2011,450,Norte
42,SC,2011,811,Sul
15,PA,2011,3073,Norte
29,BA,2011,5549,Nordeste
35,SP,2012,6566,Sudeste
22,PI,2012,525,Nordeste
26,PE,2012,3327,Nordeste
21,MA,2012,1777,Nordeste
27,AL,2012,2046,Nordeste
41,PR,2012,3489,Sul
28,SE,2012,879,Nordeste
53,DF,2012,954,Centro-Oeste
29,BA,2012,6148,Nordeste
33,RJ,2012,4772,Sudeste
31,MG,2012,4562,Sudeste
17,TO,2012,379,Norte
32,ES,2012,1667,Sudeste
16,AP,2012,253,Norte
42,SC,2012,821,Sul
15,PA,2012,3236,Norte
14,RR,2012,144,Norte
43,RS,2012,2382,Sul
13,AM,2012,1344,Norte
50,MS,2012,683,Centro-Oeste
12,AC,2012,208,Norte
25,PB,2012,1525,Nordeste
51,MT,2012,1074,Centro-Oeste
24,RN,2012,1124,Nordeste
52,GO,2012,2793,Centro-Oeste
11,RO,2012,526,Norte
23,CE,2012,3841,Nordeste
16,AP,2013,225,Norte
28,SE,2013,965,Nordeste
12,AC,2013,234,Norte
22,PI,2013,598,Nordeste
11,RO,2013,483,Norte
15,PA,2013,3405,Norte
42,SC,2013,789,Sul
29,BA,2013,5694,Nordeste
53,DF,2013,837,Centro-Oeste
35,SP,2013,6035,Sudeste
17,TO,2013,349,Norte
52,GO,2013,2975,Centro-Oeste
51,MT,2013,1158,Centro-Oeste
32,ES,2013,1622,Sudeste
43,RS,2013,2322,Sul
31,MG,2013,4717,Sudeste
21,MA,2013,2163,Nordeste
27,AL,2013,2148,Nordeste
33,RJ,2013,5111,Sudeste
50,MS,2013,630,Centro-Oeste
14,RR,2013,214,Norte
13,AM,2013,1191,Norte
24,RN,2013,1447,Nordeste
26,PE,2013,3124,Nordeste
23,CE,2013,4473,Nordeste
25,PB,2013,1551,Nordeste
41,PR,2013,2936,Sul
25,PB,2014,1551,Nordeste
12,AC,2014,232,Norte
14,RR,2014,158,Norte
52,GO,2014,2887,Centro-Oeste
15,PA,2014,3446,Norte
50,MS,2014,700,Centro-Oeste
41,PR,2014,2980,Sul
28,SE,2014,1097,Nordeste
31,MG,2014,4724,Sudeste
42,SC,2014,905,Sul
53,DF,2014,843,Centro-Oeste
35,SP,2014,6185,Sudeste
13,AM,2014,1240,Norte
16,AP,2014,256,Norte
43,RS,2014,2724,Sul
24,RN,2014,1602,Nordeste
22,PI,2014,717,Nordeste
11,RO,2014,578,Norte
29,BA,2014,6052,Nordeste
51,MT,2014,1358,Centro-Oeste
32,ES,2014,1609,Sudeste
21,MA,2014,2462,Nordeste
33,RJ,2014,5718,Sudeste
17,TO,2014,381,Norte
27,AL,2014,2085,Nordeste
23,CE,2014,4626,Nordeste
26,PE,2014,3358,Nordeste
43,RS,2015,2944,Sul
35,SP,2015,5427,Sudeste
14,RR,2015,203,Norte
22,PI,2015,650,Nordeste
11,RO,2015,600,Norte
32,ES,2015,1450,Sudeste
26,PE,2015,3847,Nordeste
52,GO,2015,2997,Centro-Oeste
16,AP,2015,293,Norte
24,RN,2015,1545,Nordeste
51,MT,2015,1203,Centro-Oeste
31,MG,2015,4532,Sudeste
29,BA,2015,6012,Nordeste
53,DF,2015,742,Centro-Oeste
23,CE,2015,4163,Nordeste
21,MA,2015,2438,Nordeste
33,RJ,2015,5067,Sudeste
27,AL,2015,1748,Nordeste
25,PB,2015,1522,Nordeste
12,AC,2015,217,Norte
17,TO,2015,503,Norte
15,PA,2015,3675,Norte
50,MS,2015,634,Centro-Oeste
41,PR,2015,2936,Sul
42,SC,2015,957,Sul
28,SE,2015,1303,Nordeste
13,AM,2015,1472,Norte
31,MG,2016,4622,Sudeste
16,AP,2016,381,Norte
29,BA,2016,7171,Nordeste
32,ES,2016,1270,Sudeste
33,RJ,2016,6053,Sudeste
15,PA,2016,4223,Norte
53,DF,2016,760,Centro-Oeste
42,SC,2016,984,Sul
14,RR,2016,204,Norte
35,SP,2016,4870,Sudeste
43,RS,2016,3225,Sul
13,AM,2016,1452,Norte
28,SE,2016,1465,Nordeste
41,PR,2016,3080,Sul
50,MS,2016,671,Centro-Oeste
12,AC,2016,363,Norte
25,PB,2016,1355,Nordeste
27,AL,2016,1820,Nordeste
21,MA,2016,2408,Nordeste
51,MT,2016,1180,Centro-Oeste
24,RN,2016,1854,Nordeste
23,CE,2016,3642,Nordeste
26,PE,2016,4447,Nordeste
52,GO,2016,3036,Centro-Oeste
11,RO,2016,703,Norte
22,PI,2016,701,Nordeste
17,TO,2016,577,Norte
23,CE,2017,5433,Nordeste
26,PE,2017,5419,Nordeste
31,MG,2017,4299,Sudeste
42,SC,2017,1066,Sul
27,AL,2017,1813,Nordeste
16,AP,2017,383,Norte
41,PR,2017,2759,Sul
11,RO,2017,554,Norte
24,RN,2017,2203,Nordeste
35,SP,2017,4631,Sudeste
17,TO,2017,557,Norte
51,MT,2017,1102,Centro-Oeste
29,BA,2017,7487,Nordeste
28,SE,2017,1313,Nordeste
32,ES,2017,1521,Sudeste
13,AM,2017,1674,Norte
15,PA,2017,4575,Norte
21,MA,2017,2180,Nordeste
12,AC,2017,516,Norte
50,MS,2017,659,Centro-Oeste
22,PI,2017,626,Nordeste
43,RS,2017,3316,Sul
33,RJ,2017,6416,Sudeste
14,RR,2017,248,Norte
25,PB,2017,1341,Nordeste
52,GO,2017,2901,Centro-Oeste
53,DF,2017,610,Centro-Oeste
43,RS,2018,2699,Sul
15,PA,2018,4528,Norte
41,PR,2018,2443,Sul
28,SE,2018,1133,Nordeste
27,AL,2018,1441,Nordeste
