cod;nome;período;valor
53;DF;2005;657
52;GO;2005;1468
29;BA;2005;2881
14;RR;2005;95
32;ES;2005;1602
13;AM;2005;599
28;SE;2005;487
17;TO;2005;190
50;MS;2005;631
41;PR;2005;2977
33;RJ;2005;7408
16;AP;2005;196
12;AC;2005;124
51;MT;2005;907
11;RO;2005;555
26;PE;2005;4330
42;SC;2005;633
27;AL;2005;1203
35;SP;2005;8870
22;PI;2005;368
35;SP;2006;8377
42;SC;2006;666
43;RS;2006;1983
15;PA;2006;2073
29;BA;2006;3311
22;PI;2006;418
17;TO;2006;229
23;CE;2006;1792
53;DF;2006;660
52;GO;2006;1509
24;RN;2006;455
25;PB;2006;825
32;ES;2006;1762
21;MA;2006;969
27;AL;2006;1620
51;MT;2006;896
12;AC;2006;158
11;RO;2006;585
16;AP;2006;202
26;PE;2006;4472
41;PR;2006;3098
33;RJ;2006;7389
50;MS;2006;683
28;SE;2006;585
13;AM;2006;699
14;RR;2006;111
31;MG;2006;4177
23;CE;2007;1933
21;MA;2007;1127
31;MG;2007;4125
25;PB;2007;864
22;PI;2007;383
27;AL;2007;1836
16;AP;2007;172
51;MT;2007;889
43;RS;2007;2199
35;SP;2007;6437
12;AC;2007;137
14;RR;2007;116
11;RO;2007;432
15;PA;2007;2194
41;PR;2007;3105
50;MS;2007;710
42;SC;2007;632
28;SE;2007;522
33;RJ;2007;6551
26;PE;2007;4557
13;AM;2007;715
17;TO;2007;226
52;GO;2007;1521
32;ES;2007;1877
53;DF;2007;711
29;BA;2007;3659
24;RN;2007;589
28;SE;2008;555
15;PA;2008;2860
41;PR;2008;3445
12;AC;2008;133
21;MA;2008;1277
43;RS;2008;2380
23;CE;2008;2019
53;DF;2008;812
32;ES;2008;1947
24;RN;2008;714
50;MS;2008;699
22;PI;2008;361
26;PE;2008;4446
52;GO;2008;1792
29;BA;2008;4819
27;AL;2008;1887
14;RR;2008;105
31;MG;2008;3889
16;AP;2008;210
11;RO;2008;480
25;PB;2008;1029
33;RJ;2008;5662
42;SC;2008;802
35;SP;2008;6332
51;MT;2008;937
17;TO;2008;237
13;AM;2008;830
11;RO;2009;538
15;PA;2009;2989
52;GO;2009;1902
12;AC;2009;153
32;ES;2009;1985
50;MS;2009;725
14;RR;2009;118
13;AM;2009;916
41;PR;2009;3698
17;TO;2009;289
23;CE;2009;2165
51;MT;2009;1000
26;PE;2009;3963
29;BA;2009;5432
35;SP;2009;6557
16;AP;2009;190
33;RJ;2009;5365
21;MA;2009;1398
28;SE;2009;653
22;PI;2009;385
53;DF;2009;882
24;RN;2009;800
31;MG;2009;3742
43;RS;2009;2242
27;AL;2009;1873
42;SC;2009;820
25;PB;2009;1263
31;MG;2010;3646
23;CE;2010;2688
17;TO;2010;327
11;RO;2010;546
22;PI;2010;411
26;PE;2010;3473
52;GO;2010;1979
24;RN;2010;810
51;MT;2010;972
21;MA;2010;1519
53;DF;2010;786
27;AL;2010;2087
25;PB;2010;1455
12;AC;2010;165
50;MS;2010;656
41;PR;2010;3586
28;SE;2010;676
13;AM;2010;1082
43;RS;2010;2085
14;RR;2010;121
35;SP;2010;6039
29;BA;2010;5844
15;PA;2010;3521
42;SC;2010;823
33;RJ;2010;5667
16;AP;2010;260
32;ES;2010;1792
14;RR;2011;95
35;SP;2011;5842
33;RJ;2011;4781
23;CE;2011;2792
43;RS;2011;2077
13;AM;2011;1292
28;SE;2011;731
53;DF;2011;902
41;PR;2011;3376
50;MS;2011;673
12;AC;2011;164
25;PB;2011;1614
27;AL;2011;2244
21;MA;2011;1591
17;TO;2011;361
16;AP;2011;209
32;ES;2011;1672
31;MG;2011;4262
51;MT;2011;1009
24;RN;2011;1054
52;GO;2011;2272
26;PE;2011;3471
22;PI;2011;440
11;RO;2011;450
42;SC;2011;811
15;PA;2011;3073
29;BA;2011;5549
35;SP;2012;6566
22;PI;2012;525
26;PE;2012;3327
21;MA;2012;1777
27;AL;2012;2046
41;PR;2012;3489
28;SE;2012;879
53;DF;2012;954
29;BA;2012;6148
33;RJ;2012;4772
31;MG;2012;4562
17;TO;2012;379
32;ES;2012;1667
16;AP;2012;253
42;SC;2012;821
15;PA;2012;3236
14;RR;2012;144
43;RS;2012;2382
13;AM;2012;1344
50;MS;2012;683
12;AC;2012;208
25;PB;2012;1525
51;MT;2012;1074
24;RN;2012;1124
52;GO;2012;2793
11;RO;2012;526
23;CE;2012;3841
16;AP;2013;225
28;SE;2013;965
12;AC;2013;234
